# eventID	energy_keV
    3204	1063.655
    3204	569.697
    3205	84.741
    3205	569.697
    3205	85.235
    3206	1063.655
    3206	569.697
    3206	2.341
    3207	1770.215
    3207	569.697
    3208	569.697
    3208	73.040
    3209	569.697
    3209	12.628
    3210	1063.655
    3210	569.697
    3210	73.039
    3211	1770.215
    3211	569.697
    3212	1063.655
    3212	569.697
    3213	75.250
    3213	569.697
    3213	73.039
    3213	12.656
    3214	1063.655
    3214	569.697
    3214	75.250
    3214	10.551
    3215	1063.655
    3215	569.697
    3216	1063.655
    3216	569.697
    3216	65.561
    3216	0.000
    3217	1063.655
    3217	569.697
    3217	73.039
    3217	12.656
    3218	1063.655
    3218	569.697
    3218	73.039
    3219	1063.655
    3219	569.697
    3220	1063.655
    3220	569.697
    3220	73.039
    3221	1063.655
    3221	569.697
    3221	2.341
    3222	1063.655
    3222	569.697
    3223	1063.655
    3223	569.697
    3223	85.235
    3224	1063.655
    3224	569.697
    3225	1063.655
    3225	569.697
    3226	1063.655
    3226	569.697
    3226	87.534
    3227	1063.655
    3227	569.697
    3227	73.039
    3227	14.816
    3228	1770.215
    3228	569.697
    3229	1063.655
    3229	569.697
    3229	12.656
    3230	10.551
    3230	569.697
    3230	85.236
    3231	1063.655
    3231	569.697
    3231	85.235
    3232	1063.655
    3232	569.697
    3232	75.250
    3233	1063.655
    3233	569.697
    3234	1770.215
    3234	569.697
    3235	1063.655
    3235	569.697
    3235	73.039
    3235	12.656
    3236	1063.655
    3236	75.250
    3236	75.250
    3236	10.551
    3237	1063.655
    3237	569.697
    3237	75.250
    3237	10.551
    3238	1063.655
    3238	569.697
    3239	1770.215
    3239	569.697
    3239	10.551
    3240	1063.655
    3240	569.697
    3240	2.442
    3241	1063.655
    3241	569.697
    3241	75.250
    3242	569.697
    3243	1063.655
    3243	569.697
    3244	1063.655
    3244	569.697
    3244	73.039
    3244	14.816
    3245	1063.655
    3245	569.697
    3245	10.551
    3246	1063.655
    3246	569.697
    3247	1063.655
    3247	569.697
    3247	75.250
    3248	1063.655
    3248	569.697
    3248	73.039
    3248	15.222
    3249	1063.655
    3249	569.697
    3250	1063.655
    3250	569.697
    3250	85.235
    3251	1063.655
    3251	569.697
    3251	85.235
    3252	1063.655
    3252	569.697
    3252	75.250
    3253	1770.215
    3253	569.697
    3254	1063.655
    3254	569.697
    3255	73.039
    3255	12.656
    3255	569.697
    3256	87.534
    3256	569.697
    3256	75.250
    3256	10.551
    3257	75.250
    3257	569.697
    3257	75.250
    3257	10.551
    3258	1063.655
    3258	569.697
    3259	1063.655
    3259	569.697
    3259	75.250
    3259	10.551
    3260	1063.655
    3260	569.697
    3261	1063.655
    3261	569.697
    3262	1063.655
    3262	569.697
    3262	73.039
    3262	14.816
    3263	1063.655
    3263	569.697
    3263	2.442
    3264	1063.655
    3264	569.697
    3264	73.039
    3264	12.656
    3265	1063.655
    3265	569.697
    3265	75.250
    3266	1063.655
    3266	569.697
