Energia_Cinetica   Energia_Depositada  Particula  Pos_Interaccion  
1  0.0671284 eV   0 eV   neutron  -34.5293 cm 8.71138 cm -1 cm 
1  0.0122412 eV   0 eV   neutron  -48.1202 cm -22.7303 cm -1 cm 
1  0.0320129 eV   0 eV   neutron  16.0618 cm 38.1085 cm -1 cm 
1  0.0637649 eV   0 eV   neutron  -14.9459 cm 6.73756 mm -1 cm 
1  0.0531446 eV   0 eV   neutron  24.1993 cm -32.1925 cm -1 cm 
1  0.0456592 eV   0 eV   neutron  -12.647 cm 2.72117 cm -1 cm 
1  0.030219 eV   0 eV   neutron  44.2095 cm -15.1456 cm -1 cm 
1  0.0514128 eV   0 eV   neutron  -36.0954 cm -19.8437 cm -4.72802 mm 
1  93.3104 eV   93.3104 eV   Ar41  -36.0954 cm -19.8437 cm -4.72803 mm 
1  0 eV   0 eV   Ar41  -36.0954 cm -19.8437 cm -4.72803 mm 
1  3.70046 MeV  0 eV   gamma  -37.5871 cm -22.2546 cm 1 cm 
1  1.04438 MeV  249.43 eV   gamma  -35.886 cm -19.4274 cm -5.01977 mm 
1  1.18672 MeV  0 eV   gamma  -34.2088 cm -20.3614 cm -1 cm 
1  167.292 keV  0 eV   gamma  -42.8636 cm -27.5221 cm -3.59727 mm 
1  167.292 keV  14.62 eV   gamma  -47.4598 cm -32.3788 cm -6.07212 mm 
1  102.052 keV  14.62 eV   gamma  -46.4842 cm -31.6845 cm -2.97411 mm 
1  93.1782 keV  0 eV   gamma  -46.1336 cm -30.8584 cm -1 cm 
1  1.29359 MeV  0 eV   gamma  -36.8986 cm -18.2649 cm -1 cm 
1  244.78 keV  28.92 eV   gamma  -35.6869 cm -24.6479 cm 5.62583 mm 
1  131.192 keV  0 eV   gamma  -35.1658 cm -23.2049 cm 1 cm 
1  1.13826 MeV  0 eV   anti_nu_e  -6.96703 mm -30.8042 cm 1 cm 
1  0.0593412 eV   0 eV   neutron  42.8014 cm 43.9831 cm -1 cm 
1  0.0110011 eV   0 eV   neutron  -24.784 cm 43.8001 cm -1 cm 
1  0.0579414 eV   0.0286018 eV   neutron  -36.8012 cm 1.21257 cm 7.49248 mm 
1  0.0478955 eV   0 eV   neutron  -36.6576 cm -2.15761 mm -1.81608 mm 
1  134.563 eV   134.563 eV   Ar41  -36.6576 cm -2.1576 mm -1.81605 mm 
1  0 eV   0 eV   Ar41  -36.6576 cm -2.1576 mm -1.81605 mm 
1  2.97683 MeV  0 eV   gamma  -36.718 cm -6.23504 mm -1 cm 
1  2.08731 MeV  0 eV   gamma  -40.013 cm 2.15348 cm 1 cm 
1  518.679 keV  0 eV   gamma  -36.3588 cm -5.02688 mm -1 cm 
1  515.988 keV  0 eV   gamma  -35.8535 cm -2.45825 mm -1 cm 
1  1.54491 MeV  0 eV   anti_nu_e  -22.6765 cm -2.68208 cm 1 cm 
1  0.0815362 eV   0 eV   neutron  -3.64805 cm -29.8513 cm -1 cm 
1  0.0549113 eV   0 eV   neutron  -1.59224 cm -48.8592 cm -1 cm 
1  0.0262299 eV   0 eV   neutron  -27.75 cm 43.9104 cm -1 cm 
1  0.0196934 eV   0 eV   neutron  41.2249 cm -43.3276 cm -1 cm 
1  0.0216334 eV   0 eV   neutron  -1.87385 cm 20.8092 cm -1 cm 
1  0.0625651 eV   0 eV   neutron  -24.7578 cm 43.8536 cm -1 cm 
1  0.0956548 eV   0 eV   neutron  9.23546 cm -9.79399 cm -1 cm 
1  0.0476818 eV   0 eV   neutron  16.4219 cm -37.0646 cm -1 cm 
1  0.0540268 eV   0 eV   neutron  -24.7413 cm -14.0213 cm -1 cm 
1  0.0430189 eV   0 eV   neutron  -16.7779 cm -1.57208 cm -1 cm 
1  0.084939 eV   0 eV   neutron  -45.1329 cm 34.7131 cm -1 cm 
1  0.0363218 eV   0 eV   neutron  7.09057 cm -34.7812 cm -1 cm 
1  0.0708293 eV   0 eV   neutron  -16.7406 cm 9.31305 cm -1 cm 
1  0.0763606 eV   0 eV   neutron  -39.851 cm -19.0037 cm -1 cm 
1  0.0481232 eV   0 eV   neutron  18.1236 cm 34.8245 cm -1 cm 
1  0.0129497 eV   0 eV   neutron  9.9652 cm -39.6381 cm -1 cm 
1  0.0540428 eV   0 eV   neutron  46.2293 cm 37.5988 cm -1 cm 
1  0.0802932 eV   0 eV   neutron  -13.8693 cm -40.3439 cm -1 cm 
1  0.0471372 eV   0 eV   neutron  -22.6715 cm 21.0452 cm -1 cm 
1  0.0763942 eV   0 eV   neutron  48.4223 cm -19.2736 cm -1 cm 
1  0.0456657 eV   0 eV   neutron  -33.7867 cm 11.4316 cm -1 cm 
1  0.0689709 eV   0 eV   neutron  22.3844 cm 43.6249 cm -1 cm 
1  0.0156395 eV   0 eV   neutron  -30.7321 cm 11.0654 cm -1 cm 
1  0.0777826 eV   0 eV   neutron  38.1159 cm 36.0545 cm -1 cm 
1  0.0897552 eV   0 eV   neutron  21.0352 cm 27.2094 cm -1 cm 
1  0.0741288 eV   0.0180808 eV   neutron  20.807 cm -28.3464 cm -8.52765 mm 
1  0.0626126 eV   0 eV   neutron  21.7028 cm -36.2441 cm 1 cm 
1  0.0428081 eV   0 eV   neutron  -46.5013 cm 16.6075 cm -1 cm 
1  0.0594569 eV   0 eV   neutron  15.5665 cm 11.9117 cm -1 cm 
1  0.0671297 eV   0 eV   neutron  -42.1765 cm -44.5008 cm -1 cm 
1  0.0185647 eV   0 eV   neutron  -22.5157 cm 41.6422 cm -1 cm 
1  0.0605151 eV   0 eV   neutron  46.7944 cm 35.4477 cm -1 cm 
1  0.0102512 eV   0 eV   neutron  -20.2042 cm -13.2074 cm -1 cm 
1  0.0163448 eV   0 eV   neutron  -39.783 cm -8.43034 cm -1 cm 
1  0.0852975 eV   0 eV   neutron  -40.7452 cm 10.7342 cm -1 cm 
1  0.0257799 eV   0 eV   neutron  -31.6741 cm 39.3377 cm -1 cm 
1  0.0638635 eV   0 eV   neutron  12.2175 cm 2.05128 cm -1 cm 
1  0.0247948 eV   0 eV   neutron  39.0182 cm -25.2007 cm 507.838 um 
1  138.37 eV   138.37 eV   Ar41  39.0182 cm -25.2007 cm 507.815 um 
1  0 eV   0 eV   Ar41  39.0182 cm -25.2007 cm 507.815 um 
1  2.97683 MeV  14.62 eV   gamma  38.7329 cm -24.5235 cm 6.38152 mm 
1  650.052 keV  249.43 eV   gamma  41.9955 cm -20.1593 cm 5.63501 mm 
1  1.76792 MeV  0 eV   gamma  39.6602 cm -25.3099 cm 1 cm 
1  1.18676 MeV  0 eV   gamma  40.1586 cm -25.7197 cm -1 cm 
1  167.292 keV  14.62 eV   gamma  39.0443 cm -25.1577 cm 491.27 um 
